client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0004_09,18,4,316,train,0.06338028,3.6700118
f0005_26,18,0,352,train,0.06962025,3.6336002
f0006_12,18,4,381,train,0.058479533,3.696893
f0007_14,18,2,376,train,0.06804734,3.7116032
f0008_45,18,0,419,train,0.055702917,3.634716
f0009_06,18,1,378,train,0.073529415,3.7248611
f0000_14,18,3,383,test,0.025641026,3.7890015
f0001_41,18,0,414,test,0.0,3.7002568
f0002_01,18,0,405,test,0.024390243,3.86785
f0003_42,18,0,398,test,0.075,3.6277213
f0004_09,18,4,316,test,0.125,3.700626
f0005_26,18,0,352,test,0.055555556,3.6500816
f0006_12,18,4,381,test,0.025641026,3.8080578
f0007_14,18,2,376,test,0.05263158,3.703094
f0008_45,18,0,419,test,0.0952381,3.7563248
f0009_06,18,1,378,test,0.02631579,3.6666698
f0000_14,19,3,383,train,0.06686047,3.6377308
f0001_41,19,0,414,train,0.061827958,3.6613793
f0002_01,19,0,405,train,0.06868132,3.6326592
f0003_42,19,0,398,train,0.05586592,3.6628242
f0004_09,19,4,316,train,0.06338028,3.6666095
f0005_26,19,0,352,train,0.07278481,3.6193404
f0006_12,19,4,381,train,0.058479533,3.696666
f0007_14,19,2,376,train,0.06804734,3.7142572
f0008_45,19,0,419,train,0.055702917,3.626927
f0009_06,19,1,378,train,0.073529415,3.7274306
f0000_14,19,3,383,test,0.025641026,3.7811737
f0001_41,19,0,414,test,0.0,3.7165768
f0002_01,19,0,405,test,0.024390243,3.8361757
f0003_42,19,0,398,test,0.075,3.628981
f0004_09,19,4,316,test,0.125,3.7310252
f0005_26,19,0,352,test,0.055555556,3.644395
f0006_12,19,4,381,test,0.025641026,3.8159645
f0007_14,19,2,376,test,0.05263158,3.711107
f0008_45,19,0,419,test,0.0952381,3.7626655
f0009_06,19,1,378,test,0.02631579,3.6518507
f0000_14,20,3,383,train,0.06686047,3.6402965
f0001_41,20,0,414,train,0.061827958,3.6562061
f0002_01,20,0,405,train,0.06868132,3.6319818
f0003_42,20,0,398,train,0.05586592,3.6621394
f0004_09,20,4,316,train,0.06338028,3.66515
f0005_26,20,0,352,train,0.06962025,3.6219437
f0006_12,20,4,381,train,0.058479533,3.6967313
f0007_14,20,2,376,train,0.06804734,3.7200873
f0008_45,20,0,419,train,0.055702917,3.6294816
f0009_06,20,1,378,train,0.073529415,3.720004
f0000_14,20,3,383,test,0.025641026,3.8112023
f0001_41,20,0,414,test,0.0,3.7357996
f0002_01,20,0,405,test,0.024390243,3.8695362
f0003_42,20,0,398,test,0.075,3.6329193
f0004_09,20,4,316,test,0.125,3.7121782
f0005_26,20,0,352,test,0.055555556,3.6412108
f0006_12,20,4,381,test,0.025641026,3.8071496
f0007_14,20,2,376,test,0.05263158,3.7221
f0008_45,20,0,419,test,0.0952381,3.7528305
f0009_06,20,1,378,test,0.02631579,3.672993
